sentenceid	globalindex	lemma	lemmaindex	leftcontext	headword	rightcontext	gs_expert	C1	C2	C3	C4	C5	VOTE	MACE
tblqmssey	0	anchovy	1	 There are still a few bona fide fishermen about&#44and if you can manage to drag yourself out of bed between six and eight in the morning&#44you ll see them returning to shore in their gaily painted&#44flat-bottomed wooden boats&#44with nets of sardines and	anchovies	0	DOT	DOT	MEAT	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
tebzcagxs	1	bison	1	 It has been argued that modern	bison	are descended from Beringian bison&#44but Cooper 's data suggest otherwise . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
dihbgfmkq	2	boar	1	 You may see a passing pleasure-boat on the water&#44or a jet-ski convoy on the lookout for wildlife such as herons&#44pelicans&#44deer&#44wild	boar	&#44 even the occasional crocodile - though the local creatures tend to only be found in the most remote parts of the mangrove&#44well away from humans . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
vldkpohxz	3	cod	1	 In a region without any noteworthy industry other than	cod	fishing&#44a little forestry&#44and tourism&#44the people add to their income by selling their craftwork and farm produce from improvised stands . 	DOT	ANIMAL	ANIMAL	ANIMAL	ANIMAL	MEAT	ANIMAL	ANIMAL
rzuuwgrxj	4	crab	1	 Kids love the Touch Tide Pool where they can handle	crabs	and starfish . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
mhnhjbuxe	5	duck	1	 Retracing your steps on the narrow street flanking the cathedral&#44circle around to the rear and	duck	into the narrow carrer del Parads . 	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
pcbfetwuj	6	eel	1	 If you d like to try fishing&#44you can get yourself a good barbecued supper of white fish&#44pike perch or	eel	from the Havel&#44Mggelsee&#44and the Glienicker See . 	MEAT	DOT	MEAT	MEAT	MEAT	MEAT	MEAT	MEAT
qpgxlegbl	7	elk	1	 Researchers are working to determine the minimum incubation time of CWD before clinical signs appear&#44now roughly estimated at 15 months in deer and 12 - 34 months in	elk	0	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
ujnjjhzjz	8	goat	1	 The park is one of the most visited parts of the Minho&#44yet it is very easy to hike up into the mountains and find yourself alone with the mountain	goats	0	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL	ANIMAL
tspnekzfy	9	hare	1	 He is referring to the fact that some teen-aged &#34 children &#34 were occasionally executed for crimes ( the crime of murder in the period to which he refers&#44or perhaps for stealing	hare	from the king 's wood in earlier times ) . 	DOT	ANIMAL	ANIMAL	MEAT	ANIMAL	ANIMAL	ANIMAL	ANIMAL
