sentenceid	globalindex	lemma	lemmaindex	leftcontext	headword	rightcontext	gs_expert	C1	C2	C3	C4	C5	VOTE	MACE
bbbbb	0	book	0	An article ridicules the recent spate of	books	on human behavior .	INFO	ART	ART	INFO	DOT	INFO	DOT	DOT
bbbbb	151	diary	37	Up on the first floor is the Muse de l Histoire de France , with gems such as the only known portrait of Joan of Arc painted in her lifetime and the	diary	kept by Louis XVI .	ART	ART	ART	INFO	ART	ART	ART	ART
bbbbb	243	dictionary	63	Although L has , in addition to the names , abbreviations , and only a few pages of miscellaneous materials- Handbook of Style , Ten Vexed points in English grammar-and some tables of moneys , weights and measures , etc . , W has short sections on Foreign Words and Phrases ( most of which are dispensable ) , Signs and Symbols , and Style , as well as one of those interminably boring listings of Colleges and Universities that clutter up most American college	dictionaries	0	INFO	INFO	DOT	INFO	INFO	ART	INFO	INFO
bbbbb	247	dictionary	64	In short , just because a new word has been coined does not mandate its publication in	dictionaries	in the frequency to which we have become victim over the past thirty-odd years .	DOT	ART	DOT	ART	INFO	ART	ART	ART
bbbbb	250	dictionary	65	Referring to	dictionaries	old and new , I found gedunk listed only in Webster 3 , with that frustrating label origin unknown .	INFO	ART	INFO	INFO	INFO	INFO	INFO	INFO
bbbbb	159	diary	39	Athens comes alive after dark with a range of activities to fill your	diary	0	INFO	ART	ART	ART	ART	INFO	ART	ART
bbbbb	253	dictionary	66	In the US , publishers do not generally advertise the number of definitions in their	dictionaries	but flaunt their entry counts .	INFO	INFO	INFO	DOT	DOT	ART	INFO	DOT
bbbbb	143	diary	35	If Husarska keeps this up , her	diary	might as well have been written from a shopping mall in Dayton .	INFO	ART	INFO	INFO	INFO	INFO	INFO	INFO
bbbbb	139	diary	34	A key reason : The Fifth Amendment does not protect self-incriminating	diaries	because diary writing is voluntary , not compelled by the court .	INFO	INFO	INFO	DOT	INFO	DOT	INFO	DOT
bbbbb	147	diary	36	But then I read in Bob Haldeman 's	diary	 , which was published in 1994 , that in 1972 Secretary of the Treasury John Connally had complained to Haldeman that several people--including me--were conspiring against him .	INFO	INFO	DOT	DOT	INFO	INFO	INFO	DOT
bbbbb	125	diary	31	During sweep months , Nielsen sends out &#34	diaries	&#34 to 250 , 000 households across all these markets .	ART	ART	INFO	ART	ART	INFO	ART	ART
bbbbb	121	diary	30	Second , speaking from experience of being at an Ivy and being in a fraternity , there are some things that are really missing in their	diaries	0	INFO	INFO	ART	INFO	INFO	INFO	INFO	INFO
bbbbb	134	diary	33	( Click here to read the	diary	of Pi star Sean Gullette .	INFO	INFO	ART	INFO	INFO	INFO	INFO	INFO
bbbbb	129	diary	32	Virtually any	diary	or utterance to a friend can now be used against you .	INFO	ART	ART	INFO	INFO	ART	ART	ART
bbbbb	292	book	79	There 's much in the elegiac tone of this	book	that reminds me of Philip Larkin 's collection All What Jazz ?	INFO	INFO	INFO	DOT	INFO	INFO	INFO	INFO
bbbbb	277	book	74	Copies even found their way into the trenches of the First World War , so Frank Richards ( his favorite name ) stamped generations of boys from 1908 to 1940 and even later when the tales were turned into	books	 , up until the last Bunter Story appeared in 1960 , shortly before Richards ' death .	INFO	ART	INFO	ART	INFO	INFO	INFO	ART
bbbbb	280	book	75	A delightful essay slams Germaine Greer 's new	book	as &#34 a sour and undiscriminating litany of charges against men . &#34	INFO	INFO	ART	ART	DOT	INFO	DOT	DOT
bbbbb	283	book	76	The conclusion is that such	books	seldom have anything to teach us except in the most general way about the way the language was used in another time , partly owing to the lack of sophistication of their compilers , partly to their conservatism , which tempts them to include terms and definitions that are no longer current .	INFO	INFO	INFO	INFO	INFO	INFO	INFO	INFO
bbbbb	287	book	77	It seemed best not to try to go through the	book	systematically but to dip into it here and there .	INFO	INFO	INFO	INFO	ART	DOT	INFO	DOT
bbbbb	266	book	70	D . Barnes &amp; Noble 's ownership of	book	distributor Ingram , says Avin Domnitz , head of the American Booksellers Association .	ART	ART	ART	ART	INFO	ART	ART	ART
bbbbb	270	book	72	A new edition of his	book	 , The Vital Center , will be published later this year .	DOT	INFO	DOT	ART	ART	ART	ART	ART
bbbbb	193	diary	48	The biggest beefs are that the Nielsen numbers : 1 ) depend on people 's honesty and initiative--filling out	diaries	 , punching buttons , etc . ( read	INFO	DOT	ART	ART	INFO	INFO	DOT	DOT
bbbbb	196	diary	49	Anas Nin , whose voluminous	diaries	recorded her daily life in exquisite , compulsively recorded detail , had better luck in choreographing her literary afterlife .	DOT	ART	INFO	INFO	INFO	INFO	INFO	INFO
bbbbb	294	dictionary	79	So to check these	dictionaries	for national bias , I looked at a few minimal pairs : pairs of people who seemed to play similar roles on their respective sides of the Atlantic : suffragettes , birth-controllers , popular advocates of self-reliance , and engineers :	INFO	INFO	INFO	INFO	ART	ART	INFO	ART
bbbbb	291	dictionary	78	And the microstructure of	dictionaries	includes more than just definitions : it can embrace examples , illustrations , synonym essays , usage essays , etymologies , and all sorts of other information .	INFO	INFO	INFO	INFO	INFO	INFO	INFO	INFO
bbbbb	163	diary	40	gropish - Boston merchant John Rowe 's	diary	for the 1760 s refers to Old fogrums only persue a gropish disposition .	INFO	INFO	INFO	ART	INFO	INFO	INFO	INFO
bbbbb	167	diary	41	Upstairs is the Muse de l Histoire de France , which displays a number of important documents , including Louis XVI s	diary	with its famous entry noting , Rien ( Nothing ) , for 14 July 1789 .	DOT	ART	ART	INFO	DOT	ART	ART	ART
bbbbb	282	dictionary	75	Not only will it avoid confusion among users of	dictionaries	 , but it will restore the preeminence of Brahma or Brahman while reducing the brahmans to the status of the rest of us mortals , where they really belong .	INFO	INFO	ART	INFO	ART	ART	ART	ART
bbbbb	176	diary	43	She was shocked to realize that it did n't matter , really , as long as she got to be with him now--and forever ( Lewinsky	diary	 , Pages 92 - 93 ) .	DOT	ART	DOT	INFO	ART	INFO	DOT	ART
bbbbb	180	diary	44	Graham Green , in the second of his autobiographical books , Ways of Escape , told this about his friend , Evelyn Waugh : Evelyn 's	diaries	have been joyfully exploited by the media , a word that has come to mean bad journalism .	INFO	ART	ART	DOT	INFO	INFO	DOT	DOT
bbbbb	183	diary	45	His daughter Anne wrote a	diary	during their time in the attic , which became an international bestseller after the war .	INFO	INFO	ART	INFO	ART	INFO	INFO	INFO
bbbbb	186	diary	46	News accounts agreed that Simpson 's testimony contradicted Nicole 's	diary	 , his own phone records , notes from his interview with a defense consultant , and a photo of him wearing Bruno Magli shoes .	INFO	INFO	INFO	INFO	INFO	ART	INFO	INFO
bbbbb	190	diary	47	The data used in this analysis are mostly collected by the week-long	diary	of household mail .	INFO	INFO	INFO	ART	DOT	INFO	INFO	DOT
bbbbb	388	dictionary	108	The TBDNE consolidates the best of the two earlier	dictionaries	 , with revisions , then adds some new entries .	INFO	INFO	INFO	ART	INFO	INFO	INFO	INFO
bbbbb	452	diary	128	Herewith the unsubpoenaed	diary	of an artful dodger .	INFO	INFO	ART	INFO	DOT	ART	DOT	DOT
bbbbb	456	diary	129	But my	diary	shows endless fretting and nagging on my part as the sixth or the seventh or the 12 th of the month arrived and the check did not .	INFO	INFO	ART	INFO	INFO	INFO	INFO	INFO
bbbbb	448	diary	127	Is there an automatic place for the top consciousness-raising tracts of the fifties ( David Riesman 's The Lonely Crowd ) , sixties ( Norman O . Brown 's Love 's Body ) , seventies ( Christopher Lasch 's The Culture of Narcissism ) , and eighties ( Alan Bloom 's The Closing of the American Mind ) ? A tempting ( and sensible ) option is to split the difference between influence and style by picking the top books about the major events of the century : Communism ( snubbing Whittaker Chambers 's Witness would be a scandal ) , race and colonialism ( Gunnar Myrdal 's An American Dilemma , Octavio Paz 's The Labyrinth of Solitude ) ; modern art ( Woolf 's A Room of One 's Own , alas ; Edmund Wilson 's Axel 's Castle , if To the Finland Station misses under Communism ) ; and the Holocaust ( with Anne Frank 's	diary	likely to top the whole list ) .	INFO	INFO	INFO	DOT	INFO	DOT	INFO	DOT
bbbbb	439	diary	124	He was stationed along the Rio Grande for two years , during the era of the Catarino Garza revolt , and his	diaries	from this period are a valuable resource on the Garza movement .	INFO	INFO	INFO	DOT	INFO	INFO	INFO	INFO
