sentenceid	globalindex	lemma	lemmaindex	leftcontext	headword	rightcontext	gs_expert	C1	C2	C3	C4	C5	VOTE	MACE
fffff	tasnqmepy	Canada	0		Canada	s provincial tourist offices are conscientious and well worth consulting,even before you leave home . 	ORG	ORG	ORG	ORG	LOC	DOT	ORG	ORG
fffff	289	America	38	But when you start counting by race , you divide	America	 , you do n't bring it together . &#34	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	271	America	35	supporting	America	's publishing economy	ORG	DOT	ORG	ORG	ORG	ORG	ORG	ORG
fffff	272	America	36	In Nashville , he shows how country and western has become the predominant music of white	America	 , with Garth Brooks having outsold every recording artist in the United States except the Beatles .	ORG	ORG	LOC	ORG	ORG	ORG	ORG	ORG
fffff	287	America	37	An editorial darkly warns that China is modernizing and expanding its military in order to displace	America	as Asia 's dominant power .	ORG	ORG	ORG	ORG	LOC	ORG	ORG	ORG
fffff	231	America	30	Mintz seems puzzled , musing that it was n't as though he 'd said	America	had no literature .	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	235	America	31	China Daily said Friday in an editorial that behind	America	's &#34 barbaric air strikes against Yugoslavia &#34 lies a plan to divide Europe and dominate the world .	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	246	America	32	Where King invoked	America	's promise , Malcolm underscored its betrayal .	ORG	DOT	LOC	ORG	ORG	ORG	ORG	ORG
fffff	250	America	33	I have no idea about what he plans , but I have the awful feeling that he may have used me for a green card and for a way to keep his children in	America	0	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	486	California	64	RNA was isolated using RNeasy Mini Kit ( Qiagen , Valencia , 	California	 , United States ) , then subjected to DNase digestion followed by reverse transcription ( Invitrogen ) .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	494	California	65	Sections ( 5 m ) mounted on Super Frost / plus glass ( Menzel and Claser , both in Braunschweig , Germany ) , were processed by a labelled streptavidin-biotin method with a Histostain Plus kit ( Zymed , San Francisco , 	California	 , USA ) .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	478	California	63	In the United States , at the National Institutes of Health in Bethesda , Maryland , the unaltered enzyme was infused directly into the venous circulation [ 2 ] ; at City of Hope in Duarte , 	California	 , it was entrapped in red cell membranes coated with antibody in an effort to direct it to macrophages [ 3 ] .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	451	California	60	Held on a single day in the basement auditorium of the Berkeley Art Museum at the University of	California	at Berkeley , it brought together a typically motley collection of intellectuals who would willingly give over a sunny Saturday to an opportunity to learn from a panel of distinguished speakers .	DOT	LOC	LOC	LOC	DOT	ORG	LOC	LOC
fffff	463	California	61	The nomination will be ratified at the August 2000 convention in	California	0	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	497	England	66	It was James VI of Scotland who became James I of	England	in 1603 .	DOT	LOC	DOT	ORG	ORG	ORG	ORG	ORG
fffff	260	Canada	34	If patriots make a reverent pilgrimage to	Canada	s Sports Hall of Fame ( just off Lakeshore Boulevard West at Exhibition Place ) to salute heroic athletes of the past , the separate Hockey Hall of Fame provides a tonic lesson for American visitors to recall , among the trophies , masks , skates , and hockey sticks , the fact that nearly all their ice hockey heroes are Canadian-born .	LOC	LOC	LOC	ORG	ORG	DOT	DOT	ORG
fffff	278	Canada	36	Interestingly , the proportion of publications from Latin America , the United States , and	Canada	across all subject areas in Science and Nature were nearly identical to those of the top 20 ecological journals .	LOC	LOC	LOC	LOC	DOT	LOC	LOC	LOC
fffff	234	Canada	31	This takes some of the wind out of the sails of John Cabot , the Venetian navigator who claimed	Canada	s eastern seaboard for England s Henry VII in 1497 .	LOC	LOC	DOT	LOC	LOC	ORG	LOC	LOC
fffff	482	England	63	Hawthorne gives Winslow an air of gorgeously ineffable sadness ; he seems to carry on his ever shakier shoulders the knowledge that this gray way of life , this	England	 , is doomed .	ORG	ORG	DOT	ORG	ORG	ORG	ORG	ORG
fffff	453	England	60	I never had any reason to suspect that the original was other then Darkies until I recently acquired a CD of songs from American musical shows which were recorded in	England	as performed there .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	467	England	61	In 1703 , 	England	struck a deal , the Methuen Treaty , which got Portugal to ally itself with England and Holland against the Catholic powers .	ORG	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	166	Africa	23	In Asia and	Africa	the Monica Lewinsky scandal was still alive and kicking .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	144	Africa	20	Although this fact is not new , as evidenced by the increase in social marketing of bednets in	Africa	[ 26 ] , it does provide more evidence that even among the least educated , living in very degraded slums , people avoid mosquitoes if they can afford it .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	150	Africa	21	In the 15 th and 16 th centuries , they ushered in an Age of Discovery , rounding	Africa	s Cape of Good Hope and eventually reaching India and the Pacific .	LOC	LOC	LOC	LOC	ORG	LOC	LOC	LOC
fffff	297	Canada	39		Canada	's secret ?	DOT	ORG	ORG	ORG	ORG	ORG	ORG	ORG
fffff	177	Africa	24	Despite this disparity in case notifications , mortality from tuberculosis is similar among young males and females in	Africa	[ 10 ] .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	185	Africa	25	Birdwatching : Eilat enjoys a prime location on the migration path for birds flying from Europe and Asia to	Africa	0	LOC	LOC	LOC	LOC	LOC	ORG	LOC	LOC
fffff	157	London	22	The Daily Telegraph of	London	reported Wednesday from Gnjilane in eastern Kosovo that American Navy and Army welders have repaired a statue of a Serb hero that was damaged by a mob of Albanian Kosovars .	DOT	LOC	DOT	LOC	LOC	ORG	LOC	LOC
fffff	171	London	23	During the 18 th century Holyrood was neglected by succeeding British monarchs , who preferred to stay in their	London	residence , though Scottish noble families lived within the compound .	LOC	LOC	LOC	LOC	LOC	LOC	LOC	LOC
fffff	142	London	20	The massacre of eight Western tourists in Uganda this week was the subject of much editorial comment in the British press , with the Times of	London	seeing it as a kind of karmic revenge for the West 's refusal five years ago to act against , or at first even acknowledge , &#34 the extraordinary genocide in Rwanda--the worst action of its kind since the second world war . &#34	DOT	LOC	LOC	LOC	LOC	LOC	LOC	LOC
