sentenceid	globalindex	lemma	lemmaindex	leftcontext	headword	rightcontext	gs_expert	C1	C2	C3	C4	C5	vote	mace
aaaa	373	invention	45	Premiums could be given for therapies that address treatment gaps or for	inventions	that pave the way to new classes of drugs .	RES	RES	RES	PROC	RES	PROC	RES	RES
aaaa	297	simulation	34	The	simulation	is not a prediction of what will happen in the future .	RES	PROC	RES	RES	RES	RES	RES	RES
aaaa	320	simulation	37	It is important to point out that if a defibrillator is not readily available ( the defibrillator was readily available in our	simulations	) , the time required to locate one and treat the patient could be much longer than that reported in our simulation .	PROC	PROC	DOT	PROC	RES	RES	DOT	PROC
aaaa	261	simulation	30	In fact , Loosemore 's computer	simulations	suggest that it will make flip-flops more common , not less .	RES	PROC	RES	DOT	RES	PROC	DOT	PROC
aaaa	125	construction	15	For example , some of the clearest examples of niche	construction	occur in plant succession where , as F . E .	DOT	PROC	PROC	PROC	RES	PROC	PROC	PROC
aaaa	441	construction	56	Torralba has perhaps the most beautiful taula of all - certain evidence that the ancients were masters of the art of stone	construction	0	DOT	PROC	RES	RES	RES	PROC	RES	PROC
aaaa	426	construction	54	We need a theory in which symmetry breaking begets further symmetry breaking in a progressive	construction	of diversifying structures and processes .	PROC	PROC	PROC	RES	DOT	DOT	PROC	DOT
aaaa	412	construction	52	After any necessary revisions , a final	construction	permit is issued .	DOT	RES	PROC	PROC	PROC	PROC	PROC	PROC
aaaa	401	construction	50	DNA- and peptide-based vaccines have become popular due to the comparative ease of	construction	 , the circumvention of potential safety issues around attenuated organisms , and for their potentially enhanced immunogenicity compared to heat-killed and subunit vaccines [ 20 21 22 ] . DNA vaccines have the added attraction of efficiently priming both humoral and cytotoxic cell responses , a property largely lacking in subunit and attenuated organism vaccines .	PROC	RES	PROC	PROC	PROC	PROC	PROC	PROC
aaaa	453	construction	58	A huge , fenced-off area is under	construction	as a zona franca - tax-free business development area - intended to attract foreign investment .	PROC	PROC	PROC	PROC	RES	PROC	PROC	PROC
aaaa	460	construction	59	Clinton will , says the paper , echoing reporting previously in the NYT , propose funding most of his social policy goals , from school	construction	to long-term care for the elderly , through targeted tax breaks rather than through new spending .	DOT	RES	PROC	DOT	PROC	PROC	PROC	PROC
aaaa	495	damage	64	Microsoft is leveraging the power it has in the PC OS market in order to minimize the	damage	to its core business ( the Windows software ) .	RES	DOT	PROC	PROC	PROC	RES	PROC	DOT
aaaa	474	damage	61	The toxicity produced by mutant SOD 1 that leads to mitochondrial	damage	remains to be identified .	RES	RES	RES	PROC	PROC	RES	RES	RES
aaaa	489	damage	63	Fire did further	damage	in 1845 .	RES	PROC	RES	RES	RES	PROC	RES	PROC
aaaa	481	damage	62	Because this was not in an urban area , missiles launched against it would have less risk of causing collateral	damage	0	RES	RES	RES	RES	RES	RES	RES	RES
aaaa	400	classification	50	In a subject where there are no fixed criteria of definition , it is unfair to criticize an attempt at	classification	: after all , we have been putting up with ambiguous definitions for the eight parts of speech for as long as anyone can remember , yet we find their occasional application convenient .	PROC	PROC	PROC	PROC	RES	PROC	PROC	PROC
